"Region","co2mu","co2sd"
"ABW",0.0921048905524457,0.0332967147722782
"AFG",12.9404176775574,7.11168160600192
"AGO",20.6985750165588,2.18350354376635
"ALB",5.7436872217362,0.286568876896706
"ARE",214.921191582157,16.8918032445325
"ARG",204.098395640224,15.414435924909
"ARM",8.51987020103638,0.991701809820747
"AUS",428.530422238443,24.4301154639406
"AUT",66.482870903056,6.27001085260229
"AZE",32.0110996583102,3.93974700799619
"BDI",1.40864131833687,0.254728441190285
"BEL",106.182451290566,9.16007215928052
"BEN",6.43140046312646,0.227614783818602
"BFA",4.29423349344996,0.921820401884594
"BGD",92.8234175668008,6.45007263459924
"BGR",35.3219038239407,3.50505343430861
"BHR",30.8094085269264,2.67361331814507
"BHS",1.22782913721971,0.305669269810063
"BIH",16.2626478196129,0.983585309396039
"BLR",75.0106968155389,8.19807779795485
"BLZ",0.573018754821284,0.0408342650148
"BOL",20.8967728573481,0.665468075025394
"BRA",514.676941740393,25.1487409008357
"BRB",0.754634808541349,0.105103901628812
"BRN",6.26127992319642,0.902872009128288
"BTN",0.758837718340825,0.214759235159474
"BWA",9.70938825748767,1.61268461745231
"CAF",0.808314943618328,0.139653677427347
"CAN",532.955430946896,24.8308239327633
"CHE",43.3146168333667,4.25840066641582
"CHL",98.9563609766896,9.0523561174862
"CHN",10493.0052354088,522.546454697316
"CIV",6.36419968608265,1.86879992010845
"CMR",6.27328999663145,0.804932882387936
"COD",6.31218903023135,1.20242427750426
"COG",6.81962336323913,0.455321152335538
"COL",88.0323987824808,4.31131754887899
"COM",0.155083362501003,0.0254552938179846
"CPV",0.258935823550462,0.0388407703691036
"CRI",11.8288536293544,3.20097368256891
"CUB",26.6833902459667,2.83348339905298
"CYP",7.02046290108529,0.961925612156031
"CZE",97.3882024932563,6.02455905187991
"DEU",804.183219943885,18.3140163872047
"DJI",0.340730159832805,0.0932883717668306
"DNK",43.2331903725624,3.55847134465301
"DOM",25.1661249666174,1.23030478174231
"DZA",167.829017548609,20.0263423392151
"ECU",42.3931445929743,3.14098461235343
"EGY",293.898236194705,37.4401741351462
"ERI",0.872221642017268,0.181543888619836
"ESP",287.934277228737,19.8393227801698
"EST",15.2056087997966,1.69938145559013
"ETH",18.6983336568789,6.29037503094165
"FIN",58.0859205621041,8.10727174417994
"FJI",1.38370726188944,0.317148996435156
"FRA",363.10867255197,6.3390508573461
"GAB",3.96105698189069,0.832434115977453
"GBR",368.350061154864,4.18406686375733
"GEO",11.443777140938,1.74275038824539
"GHA",13.7704724427426,2.08381405657226
"GIN",2.23083533943009,0.309589676438965
"GMB",0.563780274294667,0.097997388111071
"GNB",0.335194098332188,0.0476608099757833
"GNQ",3.86151603598581,1.0113666323231
"GRC",70.4966129396229,3.92063918688276
"GTM",16.6780337121932,2.28809656051584
"GUY",1.89850660729358,1.30699634782707
"HKG",68.5146618553574,4.64866792677079
"HND",10.2242462922652,0.263548499809039
"HRV",19.3676547990034,1.11796056079475
"HTI",4.42877473812597,0.566340055799817
"HUN",50.1217627605294,3.38746997148771
"IDN",550.92669713722,34.5843863515707
"IND",2492.53775297146,282.736662357757
"IRL",39.4853915894122,2.36745664104063
"IRN",677.42418514562,3.97347808024699
"IRQ",113.720508435674,11.9108268994881
"ISL",3.59908983970895,0.197265502161768
"ISR",93.9328999871601,6.91725292688328
"ITA",405.864913206967,21.4835136161086
"JAM",7.67589094186106,0.374930206446274
"JOR",25.6622753376134,2.27443630103606
"JPN",1278.23681598575,72.8049374692628
"KAZ",300.356140098128,49.7811879960341
"KEN",16.554017103156,3.54794906491048
"KGZ",12.6887795567937,2.48026384942198
"KHM",21.6117420834761,13.3271602356629
"KOR",734.033723992175,66.9657093167823
"KWT",92.7330358807807,8.93437683129424
"LAO",18.5300432721252,12.4085694361631
"LBN",30.6219381901786,6.86043311790677
"LBR",0.733689324005414,0.145295926103916
"LBY",37.5569632762153,4.31610441103605
"LCA",0.345159568837462,0.00906267231099156
"LKA",21.3368343188145,3.76818763362483
"LSO",0.518277521601657,0.0323538196567226
"LTU",16.0491703869878,0.775318320558474
"LUX",11.0042387580987,0.681684424781603
"LVA",8.45919234386128,0.432959198296233
"MAC",1.80726201887102,0.484272708719045
"MAR",89.0921292407312,11.6712043486397
"MDA",9.30887371419058,0.82681607985421
"MDG",4.47160962579456,1.10661113306666
"MDV",0.346619611801634,0.0939002906517114
"MEX",469.277772714327,20.6438422320669
"MKD",10.5530591852903,0.943656193519109
"MLI",3.27095315099844,0.544558192202631
"MLT",1.5301744282119,0.116719849163323
"MMR",19.3074008908942,3.19512173628443
"MNE",1.24364631347109,0.0649740312426575
"MNG",28.2527973784898,4.96767646903058
"MOZ",6.13810044245305,1.23900450123514
"MRT",1.32294501797367,0.2464076809939
"MUS",5.43880916930267,1.05302370628801
"MWI",2.88616822981908,0.358240553119274
"MYS",261.053250252505,37.8522806146369
"NAM",5.92684874818323,0.847164940981461
"NCL",0.650455782268344,0.137192246440406
"NER",5.12792417771752,1.02682604252414
"NGA",80.2201321676378,2.67124754682025
"NIC",4.92115321880058,0.0904688740094932
"NLD",211.129513931272,12.3716433080058
"NOR",40.9301420974774,3.62156220809364
"NPL",11.7975405544032,2.49494307907261
"NZL",38.0757093994301,3.76440930885408
"OMN",75.9324637698285,6.68651386539566
"PAK",170.220261484229,8.19941098728715
"PAN",12.7227386044705,1.36655909396113
"PER",54.9896956806854,4.91373655932139
"PHL",97.2889943862422,19.5325366088868
"PNG",10.2124497094999,2.38069656723427
"POL",315.562285927169,15.9157897837293
"PRI",46.5518703324565,27.8572167318291
"PRT",55.1796246439638,3.43011943296018
"PRY",7.58399085652178,0.280308150982426
"PSE",18.7988891770651,7.29601352581518
"PYF",0.669752569546777,0.14104928094927
"QAT",44.8178513271523,6.10155347243246
"ROU",69.8892624187642,3.51204417789846
"RUS",2045.33802733562,323.358753097676
"RWA",2.67608134827017,0.529569088545164
"SAU",584.852697408903,51.7529570915137
"SDN",31.4039127463474,8.59271411038298
"SEN",9.31280161189871,1.61597717980763
"SGP",73.9130339693102,6.0812315597978
"SLB",0.779531666201915,0.181994504735212
"SLE",1.27918557916842,0.187255205661338
"SLV",6.62297339216435,0.413241326937914
"SOM",0.439792903385252,0.180945781987479
"SRB",48.3188484697995,3.92143809771887
"STP",0.0619383286580933,0.011832929579626
"SUR",1.80313112540328,0.503002534309487
"SVK",30.3877299484306,1.23878461293757
"SVN",14.4097611193609,0.989282618503852
"SWE",51.2844497226866,5.9420251474427
"SWZ",0.634793387128856,0.072304671373968
"SYR",79.5776680121562,5.67811333564868
"TCD",2.80727765344111,0.371040209714572
"TGO",3.07672086715866,0.512289832816135
"THA",353.971240008724,28.3887524605893
"TJK",5.69931079658915,0.971026075111339
"TKM",68.6038068506722,8.08194697157122
"TLS",1.34020324647006,0.310278537908481
"TON",0.162402913354166,0.0373599853506212
"TTO",53.6618653258319,16.1354198568948
"TUN",33.1487989625027,3.07593706011596
"TUR",378.56822431976,18.1270365595489
"TWN",186.141108953296,73.4101165707839
"TZA",11.7830566206723,1.39720105865922
"UGA",5.88730959889047,1.09025078682721
"UKR",302.984870428384,76.0111156314019
"URY",7.61436587670174,0.954847530245296
"USA",5356.47261390997,460.147358143325
"UZB",123.207493085912,13.9616424315755
"VCT",0.230130823669759,0.00414780499332537
"VEN",144.779476897002,12.7212455213251
"VNM",484.318354930971,357.708694567114
"VUT",0.407376415239835,0.0936407350797935
"WSM",0.28149144235733,0.0645487241927678
"YEM",53.6471743098628,25.6731312229641
"ZAF",440.013508175108,68.643170555469
"ZMB",4.6903665703578,0.737682830184987
"ZWE",10.8762394955249,0.680436785209991
