quantiles,years,locations,sea_level_change,ssp
0.16699999570846558,2020,-1,43.0,ssp119
0.16699999570846558,2030,-1,79.0,ssp119
0.16699999570846558,2040,-1,107.0,ssp119
0.16699999570846558,2050,-1,146.0,ssp119
0.16699999570846558,2060,-1,169.0,ssp119
0.16699999570846558,2070,-1,206.0,ssp119
0.16699999570846558,2080,-1,230.0,ssp119
0.16699999570846558,2090,-1,259.0,ssp119
0.16699999570846558,2100,-1,274.0,ssp119
0.16699999570846558,2110,-1,299.0,ssp119
0.16699999570846558,2120,-1,320.0,ssp119
0.16699999570846558,2130,-1,339.0,ssp119
0.16699999570846558,2140,-1,356.0,ssp119
0.16699999570846558,2150,-1,372.0,ssp119
0.5,2020,-1,50.0,ssp119
0.5,2030,-1,92.0,ssp119
0.5,2040,-1,128.0,ssp119
0.5,2050,-1,176.0,ssp119
0.5,2060,-1,211.0,ssp119
0.5,2070,-1,260.0,ssp119
0.5,2080,-1,301.0,ssp119
0.5,2090,-1,348.0,ssp119
0.5,2100,-1,384.0,ssp119
0.5,2110,-1,432.0,ssp119
0.5,2120,-1,472.0,ssp119
0.5,2130,-1,508.0,ssp119
0.5,2140,-1,542.0,ssp119
0.5,2150,-1,576.0,ssp119
0.8330000042915344,2020,-1,61.0,ssp119
0.8330000042915344,2030,-1,116.0,ssp119
0.8330000042915344,2040,-1,168.0,ssp119
0.8330000042915344,2050,-1,233.0,ssp119
0.8330000042915344,2060,-1,286.0,ssp119
0.8330000042915344,2070,-1,357.0,ssp119
0.8330000042915344,2080,-1,422.0,ssp119
0.8330000042915344,2090,-1,491.0,ssp119
0.8330000042915344,2100,-1,552.0,ssp119
0.8330000042915344,2110,-1,626.0,ssp119
0.8330000042915344,2120,-1,689.0,ssp119
0.8330000042915344,2130,-1,749.0,ssp119
0.8330000042915344,2140,-1,807.0,ssp119
0.8330000042915344,2150,-1,863.0,ssp119
0.16699999570846558,2020,-1,43.0,ssp245
0.16699999570846558,2030,-1,80.0,ssp245
0.16699999570846558,2040,-1,119.0,ssp245
0.16699999570846558,2050,-1,173.0,ssp245
0.16699999570846558,2060,-1,219.0,ssp245
0.16699999570846558,2070,-1,272.0,ssp245
0.16699999570846558,2080,-1,323.0,ssp245
0.16699999570846558,2090,-1,377.0,ssp245
0.16699999570846558,2100,-1,434.0,ssp245
0.16699999570846558,2110,-1,467.0,ssp245
0.16699999570846558,2120,-1,517.0,ssp245
0.16699999570846558,2130,-1,567.0,ssp245
0.16699999570846558,2140,-1,615.0,ssp245
0.16699999570846558,2150,-1,662.0,ssp245
0.5,2020,-1,50.0,ssp245
0.5,2030,-1,94.0,ssp245
0.5,2040,-1,142.0,ssp245
0.5,2050,-1,205.0,ssp245
0.5,2060,-1,263.0,ssp245
0.5,2070,-1,332.0,ssp245
0.5,2080,-1,404.0,ssp245
0.5,2090,-1,477.0,ssp245
0.5,2100,-1,556.0,ssp245
0.5,2110,-1,634.0,ssp245
0.5,2120,-1,709.0,ssp245
0.5,2130,-1,783.0,ssp245
0.5,2140,-1,856.0,ssp245
0.5,2150,-1,927.0,ssp245
0.8330000042915344,2020,-1,62.0,ssp245
0.8330000042915344,2030,-1,118.0,ssp245
0.8330000042915344,2040,-1,181.0,ssp245
0.8330000042915344,2050,-1,264.0,ssp245
0.8330000042915344,2060,-1,344.0,ssp245
0.8330000042915344,2070,-1,439.0,ssp245
0.8330000042915344,2080,-1,542.0,ssp245
0.8330000042915344,2090,-1,650.0,ssp245
0.8330000042915344,2100,-1,764.0,ssp245
0.8330000042915344,2110,-1,892.0,ssp245
0.8330000042915344,2120,-1,1005.0,ssp245
0.8330000042915344,2130,-1,1117.0,ssp245
0.8330000042915344,2140,-1,1227.0,ssp245
0.8330000042915344,2150,-1,1337.0,ssp245
0.16699999570846558,2020,-1,43.0,ssp585
0.16699999570846558,2030,-1,85.0,ssp585
0.16699999570846558,2040,-1,134.0,ssp585
0.16699999570846558,2050,-1,197.0,ssp585
0.16699999570846558,2060,-1,262.0,ssp585
0.16699999570846558,2070,-1,339.0,ssp585
0.16699999570846558,2080,-1,419.0,ssp585
0.16699999570846558,2090,-1,520.0,ssp585
0.16699999570846558,2100,-1,624.0,ssp585
0.16699999570846558,2110,-1,649.0,ssp585
0.16699999570846558,2120,-1,738.0,ssp585
0.16699999570846558,2130,-1,825.0,ssp585
0.16699999570846558,2140,-1,905.0,ssp585
0.16699999570846558,2150,-1,981.0,ssp585
0.5,2020,-1,50.0,ssp585
0.5,2030,-1,98.0,ssp585
0.5,2040,-1,157.0,ssp585
0.5,2050,-1,233.0,ssp585
0.5,2060,-1,310.0,ssp585
0.5,2070,-1,404.0,ssp585
0.5,2080,-1,510.0,ssp585
0.5,2090,-1,633.0,ssp585
0.5,2100,-1,766.0,ssp585
0.5,2110,-1,867.0,ssp585
0.5,2120,-1,992.0,ssp585
0.5,2130,-1,1112.0,ssp585
0.5,2140,-1,1225.0,ssp585
0.5,2150,-1,1332.0,ssp585
0.8330000042915344,2020,-1,62.0,ssp585
0.8330000042915344,2030,-1,123.0,ssp585
0.8330000042915344,2040,-1,199.0,ssp585
0.8330000042915344,2050,-1,295.0,ssp585
0.8330000042915344,2060,-1,399.0,ssp585
0.8330000042915344,2070,-1,526.0,ssp585
0.8330000042915344,2080,-1,672.0,ssp585
0.8330000042915344,2090,-1,839.0,ssp585
0.8330000042915344,2100,-1,1022.0,ssp585
0.8330000042915344,2110,-1,1208.0,ssp585
0.8330000042915344,2120,-1,1388.0,ssp585
0.8330000042915344,2130,-1,1565.0,ssp585
0.8330000042915344,2140,-1,1735.0,ssp585
0.8330000042915344,2150,-1,1899.0,ssp585
0.16699999570846558,2020,-1,43.0,ssp370
0.16699999570846558,2030,-1,81.0,ssp370
0.16699999570846558,2040,-1,124.0,ssp370
0.16699999570846558,2050,-1,183.0,ssp370
0.16699999570846558,2060,-1,238.0,ssp370
0.16699999570846558,2070,-1,305.0,ssp370
0.16699999570846558,2080,-1,376.0,ssp370
0.16699999570846558,2090,-1,457.0,ssp370
0.16699999570846558,2100,-1,546.0,ssp370
0.16699999570846558,2110,-1,577.0,ssp370
0.16699999570846558,2120,-1,658.0,ssp370
0.16699999570846558,2130,-1,738.0,ssp370
0.16699999570846558,2140,-1,816.0,ssp370
0.16699999570846558,2150,-1,891.0,ssp370
0.5,2020,-1,49.0,ssp370
0.5,2030,-1,94.0,ssp370
0.5,2040,-1,145.0,ssp370
0.5,2050,-1,215.0,ssp370
0.5,2060,-1,282.0,ssp370
0.5,2070,-1,366.0,ssp370
0.5,2080,-1,458.0,ssp370
0.5,2090,-1,560.0,ssp370
0.5,2100,-1,678.0,ssp370
0.5,2110,-1,764.0,ssp370
0.5,2120,-1,876.0,ssp370
0.5,2130,-1,986.0,ssp370
0.5,2140,-1,1092.0,ssp370
0.5,2150,-1,1196.0,ssp370
0.8330000042915344,2020,-1,61.0,ssp370
0.8330000042915344,2030,-1,118.0,ssp370
0.8330000042915344,2040,-1,185.0,ssp370
0.8330000042915344,2050,-1,274.0,ssp370
0.8330000042915344,2060,-1,366.0,ssp370
0.8330000042915344,2070,-1,476.0,ssp370
0.8330000042915344,2080,-1,603.0,ssp370
0.8330000042915344,2090,-1,746.0,ssp370
0.8330000042915344,2100,-1,902.0,ssp370
0.8330000042915344,2110,-1,1037.0,ssp370
0.8330000042915344,2120,-1,1192.0,ssp370
0.8330000042915344,2130,-1,1347.0,ssp370
0.8330000042915344,2140,-1,1500.0,ssp370
0.8330000042915344,2150,-1,1649.0,ssp370
0.16699999570846558,2020,-1,43.0,ssp126
0.16699999570846558,2030,-1,79.0,ssp126
0.16699999570846558,2040,-1,114.0,ssp126
0.16699999570846558,2050,-1,158.0,ssp126
0.16699999570846558,2060,-1,191.0,ssp126
0.16699999570846558,2070,-1,234.0,ssp126
0.16699999570846558,2080,-1,265.0,ssp126
0.16699999570846558,2090,-1,297.0,ssp126
0.16699999570846558,2100,-1,323.0,ssp126
0.16699999570846558,2110,-1,355.0,ssp126
0.16699999570846558,2120,-1,384.0,ssp126
0.16699999570846558,2130,-1,411.0,ssp126
0.16699999570846558,2140,-1,437.0,ssp126
0.16699999570846558,2150,-1,461.0,ssp126
0.5,2020,-1,50.0,ssp126
0.5,2030,-1,92.0,ssp126
0.5,2040,-1,136.0,ssp126
0.5,2050,-1,190.0,ssp126
0.5,2060,-1,233.0,ssp126
0.5,2070,-1,290.0,ssp126
0.5,2080,-1,338.0,ssp126
0.5,2090,-1,387.0,ssp126
0.5,2100,-1,437.0,ssp126
0.5,2110,-1,499.0,ssp126
0.5,2120,-1,548.0,ssp126
0.5,2130,-1,595.0,ssp126
0.5,2140,-1,640.0,ssp126
0.5,2150,-1,684.0,ssp126
0.8330000042915344,2020,-1,62.0,ssp126
0.8330000042915344,2030,-1,117.0,ssp126
0.8330000042915344,2040,-1,175.0,ssp126
0.8330000042915344,2050,-1,248.0,ssp126
0.8330000042915344,2060,-1,311.0,ssp126
0.8330000042915344,2070,-1,391.0,ssp126
0.8330000042915344,2080,-1,468.0,ssp126
0.8330000042915344,2090,-1,542.0,ssp126
0.8330000042915344,2100,-1,617.0,ssp126
0.8330000042915344,2110,-1,720.0,ssp126
0.8330000042915344,2120,-1,797.0,ssp126
0.8330000042915344,2130,-1,871.0,ssp126
0.8330000042915344,2140,-1,945.0,ssp126
0.8330000042915344,2150,-1,1018.0,ssp126
